Observation_Date,Year,Income
01-01-2005,2005,9082.2
01-02-2005,2005,9109.5
01-03-2005,2005,9169.2
01-04-2005,2005,9223.7
01-05-2005,2005,9268.6
01-06-2005,2005,9293.1
01-07-2005,2005,9342.1
01-08-2005,2005,9394.8
01-09-2005,2005,9452.2
01-10-2005,2005,9520
01-11-2005,2005,9559.6
01-12-2005,2005,9588.8
01-01-2006,2006,9732.7
01-02-2006,2006,9781.2
01-03-2006,2006,9837.6
01-04-2006,2006,9880.7
01-05-2006,2006,9900.9
01-06-2006,2006,9938.1
01-07-2006,2006,9967.9
01-08-2006,2006,9990.9
01-09-2006,2006,10018.2
01-10-2006,2006,10039.9
01-11-2006,2006,10084.2
01-12-2006,2006,10168.2
01-01-2007,2007,10200.4
01-02-2007,2007,10265.8
01-03-2007,2007,10337
01-04-2007,2007,10376.5
01-05-2007,2007,10412.7
01-06-2007,2007,10429.1
01-07-2007,2007,10456.3
01-08-2007,2007,10467.3
01-09-2007,2007,10524.1
01-10-2007,2007,10547.9
01-11-2007,2007,10594.8
01-12-2007,2007,10663.8
01-01-2008,2008,10705.5
01-02-2008,2008,10731.1
01-03-2008,2008,10765.4
01-04-2008,2008,10745.4
01-05-2008,2008,11322.5
01-06-2008,2008,11117.6
01-07-2008,2008,10999.7
01-08-2008,2008,10929.5
01-09-2008,2008,10964.1
01-10-2008,2008,10973.7
01-11-2008,2008,10937.5
01-12-2008,2008,10826.1
01-01-2009,2009,10891.5
01-02-2009,2009,10805.4
01-03-2009,2009,10794.3
01-04-2009,2009,10878
01-05-2009,2009,11048.4
01-06-2009,2009,10912.3
01-07-2009,2009,10864.9
01-08-2009,2009,10875.2
01-09-2009,2009,10924.7
01-10-2009,2009,10932.5
01-11-2009,2009,10987.9
01-12-2009,2009,11044.5
01-01-2010,2010,11073.7
01-02-2010,2010,11079
01-03-2010,2010,11138.2
01-04-2010,2010,11240.7
01-05-2010,2010,11328.4
01-06-2010,2010,11327.3
01-07-2010,2010,11345.9
01-08-2010,2010,11395.1
01-09-2010,2010,11405
01-10-2010,2010,11443.8
01-11-2010,2010,11478.1
01-12-2010,2010,11573
01-01-2011,2011,11662.3
01-02-2011,2011,11728.2
01-03-2011,2011,11744.3
01-04-2011,2011,11774.2
01-05-2011,2011,11795.2
01-06-2011,2011,11840.7
01-07-2011,2011,11906.1
01-08-2011,2011,11928.6
01-09-2011,2011,11928.6
01-10-2011,2011,11938.4
01-11-2011,2011,11954.4
01-12-2011,2011,12069.5
01-01-2012,2012,12175.6
01-02-2012,2012,12261.2
01-03-2012,2012,12319.4
01-04-2012,2012,12382.9
01-05-2012,2012,12365.1
01-06-2012,2012,12344.6
01-07-2012,2012,12257.1
01-08-2012,2012,12262.1
01-09-2012,2012,12386.3
01-10-2012,2012,12507.6
01-11-2012,2012,12664.4
01-12-2012,2012,12973.2
01-01-2013,2013,12238.4
01-02-2013,2013,12251.7
01-03-2013,2013,12272.1
01-04-2013,2013,12298.9
01-05-2013,2013,12365.9
01-06-2013,2013,12394.8
01-07-2013,2013,12397
01-08-2013,2013,12441.9
01-09-2013,2013,12503
01-10-2013,2013,12468.6
01-11-2013,2013,12510.6
01-12-2013,2013,12551.8
01-01-2014,2014,12636.2
01-02-2014,2014,12708.5
01-03-2014,2014,12798.5
01-04-2014,2014,12870
01-05-2014,2014,12932.6
